# benchmark_hycal_timing
# evio_path=/mnt/hgfs/Data/PRad2/prad_024386 max_events=100000
# pre_window=[130.0,200.0] ns  seed_time_window=8.0 ns
# selection: single cluster E > 3000.0 MeV
# n_phys=100000 n_kept=98001 elapsed_s=132.9

path	n_events	gauss_mu_MeV	gauss_sigma_MeV	n_in_fit
legacy	59890	3491.72	80.32	51207
new	59045	3444.62	88.21	49258

# energy histogram bin centres (MeV) and counts
e_centre	count_legacy	count_new
2510.0	0	0
2530.0	0	0
2550.0	0	0
2570.0	0	0
2590.0	0	0
2610.0	0	0
2630.0	0	0
2650.0	0	0
2670.0	0	0
2690.0	0	0
2710.0	0	0
2730.0	0	0
2750.0	0	0
2770.0	0	0
2790.0	0	0
2810.0	0	0
2830.0	0	0
2850.0	0	0
2870.0	0	0
2890.0	0	0
2910.0	0	0
2930.0	0	0
2950.0	0	0
2970.0	0	0
2990.0	0	0
3010.0	288	289
3030.0	301	291
3050.0	262	285
3070.0	265	246
3090.0	191	239
3110.0	227	268
3130.0	226	295
3150.0	256	307
3170.0	240	366
3190.0	275	441
3210.0	280	483
3230.0	308	619
3250.0	373	793
3270.0	396	1003
3290.0	497	1287
3310.0	629	1689
3330.0	880	2128
3350.0	1188	2781
3370.0	1702	3341
3390.0	2432	3905
3410.0	3125	4432
3430.0	4051	4864
3450.0	4781	4954
3470.0	5217	4744
3490.0	5507	4356
3510.0	5222	3725
3530.0	4757	2965
3550.0	4197	2375
3570.0	3366	1761
3590.0	2522	1238
3610.0	1851	874
3630.0	1289	610
3650.0	967	411
3670.0	624	265
3690.0	409	157
3710.0	286	108
3730.0	194	62
3750.0	133	45
3770.0	69	12
3790.0	36	15
3810.0	24	2
3830.0	12	4
3850.0	8	3
3870.0	5	0
3890.0	3	2
3910.0	3	0
3930.0	0	0
3950.0	1	2
3970.0	2	0
3990.0	1	0
